Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Lis 3,78,178,47,55,122,9,10286,13.25,962.51,3756
Lis 4,78,178,36,57,0,5,6050,8.74,968.99,2502
Lis 5,78,178,32,55,0,4,1982,7.9,962.76,2151
Lis 6,78,178,33,53,6,12,9856,11.4,978.67,2690
Lis 7,78,178,44,60,8,31,10120,8.28,987.39,2713
Lis 8,78,178,32,54,0,9,7973,7.67,988.21,2461
Lis 9,78,178,34,53,0,2,8163,8.44,986.49,2441
Lis 10,78,178,35,55,0,3,6335,9.01,979.1,2318
Lis 11,78,178,31,53,0,13,6763,7.4,974.83,2481
Lis 12,78,178,26,52,0,9,3239,5.88,980.73,2194
Lis 13,78,178,37,55,247,24,13567,5.67,983.83,3464
Lis 14,78,178,48,58,0,17,7620,10.72,977.48,2537
Lis 15,78,178,36,58,0,2,6899,8.82,980.31,2386
Lis 16,78,178,36,52,9,2,5596,7.1,987.33,2373
Lis 17,78,178,36,53,0,2,5532,5.24,983.59,2379
Lis 18,78,178,27,57,0,5,3361,2.58,993.29,2210
Lis 19,78,178,32,51,40,11,11496,3.09,986.67,2992
Lis 20,78,178,33,54,0,10,6282,7.78,980.87,2349
Lis 21,78,178,32,53,0,17,6620,6.93,983.83,2368
Lis 22,78,178,43,52,0,2,6222,-0.52,997.18,2592
Lis 23,78,178,51,55,0,5,8967,3.73,985.98,2626
Lis 24,78,178,46,57,2,12,8696,4.55,969.6,2425
Lis 25,78,178,49,58,6,1,11995,0.99,972.42,2675
Lis 26,78,178,-1,,0,0,508,-0.54,980.6,2053
Lis 27,78,178,43,58,23,8,14296,-0.78,979.6,3241
Lis 28,78,178,24,52,0,27,8298,-1.31,968.78,2350
Lis 29,78,178,26,55,0,5,3498,-3.8,979.77,2219
Lis 30,78,178,32,52,0,38,11160,-0.03,977.66,2532
