Date,Weight,Height,Average Stress Level,Average Resting Heart Rate,Intensity Minutes,Floors Climbed,Steps,Average Temperature in Cracow,Average Air Pressure in Cracow,Calories
Sty 27,85.4,180,-1,,0,0,0,-0.32,991.91,2231
Sty 28,85.4,180,49,79,16,9,5652,-0.6,995.74,2546
Sty 29,85.4,180,-1,,0,0,0,-1.51,996.1,2231
Sty 30,85.4,180,43,74,3,6,3932,0.22,982.17,2418
Sty 31,85.4,180,-1,,0,0,0,1.88,985.57,2231
Lut 1,85.4,180,30,60,3,4,8453,2.92,982.46,2548
Lut 2,85.4,180,-1,,0,0,11,2.39,984.51,2231
Lut 3,85.4,180,-1,,0,0,0,1,987.07,2231
Lut 4,85.4,180,-1,,0,0,0,-0.3,995.33,2231
Lut 5,85.4,180,42,71,19,7,4941,-3.99,1008.16,2547
Lut 6,85.4,180,45,70,53,4,10745,-4.29,1011.1,2932
Lut 7,85.4,180,37,71,3,2,8405,-5.37,1012.68,2400
Lut 8,85.4,180,28,64,0,3,8600,-1.48,1015.21,2449
Lut 9,85.4,180,56,89,95,6,11804,-2.73,1009.83,3093
Lut 10,85.4,180,28,61,0,7,6877,-0.95,1006.98,2448
Lut 11,85.4,180,24,64,0,0,0,1.76,1000.74,2231
Lut 12,85.4,180,48,74,78,7,8365,2.76,1007.3,2784
Lut 13,85.4,180,59,87,86,6,12559,3.69,1007.85,3034
Lut 14,85.4,180,-1,,0,0,0,4.3,1007.14,2231
Lut 15,85.4,180,87,94,100,7,12751,4.49,1002.86,3326
Lut 16,85.4,180,38,66,0,4,9836,3.67,996.49,2546
Lut 17,85.4,180,40,83,0,3,3484,6.78,990.12,2344
Lut 18,85.4,180,75,87,80,12,13713,8.57,985.42,3103
Lut 19,85.4,180,-1,,0,0,0,4.96,987.54,2231
Lut 20,85.4,180,78,86,67,10,12691,6.15,988.47,3128
Lut 21,85.4,180,17,66,0,2,3702,8.79,984.01,2349
Lut 22,85.4,180,32,60,0,7,7611,5.57,990.19,2474
Lut 23,85.4,180,-1,,50,3,7414,4.05,988.34,2459
